================================================================
                    RESTAURANT SIMULATOR                       
                        ORDER LOG                              
================================================================

TF    ID    TQ    TA    TR    TS    Ti    TC    Tw    Tserv
      | Rescue Scooters       | 10    |
      | Rescue Missions       | 16    |
      +-----------------------+-------+

  [4] Order Outcomes
      +-----------------------+--------+
      | Finished Orders %     | 92.86% |
      | Cancelled Orders %    | 7.14 % |
      | Overwait Orders %     | 11.79% |
      +-----------------------+--------+

  [5] Averages  (finished orders)
      +-----------------------+-------+
      | Avg Ti                | 24.89 |
      | Avg TC                | 1.82  |
      | Avg Tw                | 26.70 |
      | Avg Tserv             | 9.66  |
      +-----------------------+-------+

  [6] Utilization
      +-----------------------+--------+
      | Chefs Util %          | 15.55% |
      | Scooters Util %       | 83.72% |
      | (rescue scooters excluded)     |
      +-----------------------+--------+

================================================================
